Town,Year,Change
Meriden,2020,55
Meriden,2019,61
Meriden,2018,-26
Meriden,2017,53
Burlington,2022,-72
Burlington,2021,-49
Burlington,2020,83
Burlington,2019,-16
Burlington,2018,40
Bethany,2022,-72
Bethany,2021,6
Bethany,2020,98
Bethany,2019,-39
Bethany,2018,-19
Easton,2022,-74
Easton,2021,-14
Easton,2020,55
Easton,2019,-11
Easton,2018,7
Lebanon,2022,-77
Lebanon,2021,-5
Lebanon,2020,132
Lebanon,2019,-59
Lebanon,2018,-77
Essex,2022,-78
Essex,2021,-20
Essex,2020,190
Essex,2019,-95
Essex,2018,-18
Windham,2022,-80
Windham,2021,123
Windham,2020,194
Windham,2019,-213
Windham,2018,-59
Mansfield,2022,-83
Mansfield,2021,245
Mansfield,2020,-113
Mansfield,2019,-99
Mansfield,2018,24
Portland,2022,-83
Portland,2021,56
Portland,2020,1
Portland,2019,-8
Portland,2018,14
Trumbull,2021,-84
Trumbull,2020,36
Trumbull,2019,-1
Trumbull,2018,48
Trumbull,2017,411
Putnam,2022,-84
Putnam,2021,173
Putnam,2020,-77
Putnam,2019,-68
Putnam,2018,-11
Groton,2021,-85
Groton,2020,31
Groton,2019,11
Groton,2018,481
Groton,2017,-337
Hebron,2021,-85
Hebron,2020,71
Hebron,2019,-21
Hebron,2018,127
Hebron,2017,-82
Manchester,2021,-86
Manchester,2020,62
Manchester,2019,-98
Manchester,2018,758
Manchester,2017,-429
Litchfield,2022,-87
Litchfield,2021,-32
Litchfield,2020,230
Litchfield,2019,-76
Litchfield,2018,-48
East Haven,2021,-88
East Haven,2020,38
East Haven,2019,-18
East Haven,2018,451
East Haven,2017,-263
Watertown,2022,-90
Watertown,2021,117
Watertown,2020,268
Watertown,2019,-217
Watertown,2018,-111
Ansonia,2022,-97
Ansonia,2021,55
Ansonia,2020,43
Ansonia,2019,-10
Ansonia,2018,-26
Windsor Locks,2022,-97
Windsor Locks,2021,109
Windsor Locks,2020,135
Windsor Locks,2019,-148
Windsor Locks,2018,-60
Canton,2022,-99
Canton,2021,5
Canton,2020,194
Canton,2019,-87
Canton,2018,-78
East Haddam,2022,-103
East Haddam,2021,-10
East Haddam,2020,70
East Haddam,2019,152
East Haddam,2018,-107
Weston,2022,-106
Weston,2021,62
Weston,2020,221
Weston,2019,-113
Weston,2018,-52
Brookfield,2021,-111
Brookfield,2020,57
Brookfield,2019,17
Brookfield,2018,256
Brookfield,2017,-170
East Lyme,2021,-116
East Lyme,2020,53
East Lyme,2019,26
East Lyme,2018,301
East Lyme,2017,-167
Berlin,2022,-116
Berlin,2021,36
Berlin,2020,-60
Berlin,2019,323
Berlin,2018,-180
Thompson,2022,-116
Thompson,2021,202
Thompson,2020,-79
Thompson,2019,-55
Thompson,2018,-24
Redding,2022,-117
Redding,2021,34
Redding,2020,91
Redding,2019,100
Redding,2018,-88
Suffield,2022,-118
Suffield,2021,31
Suffield,2020,272
Suffield,2019,-150
Suffield,2018,-60
East Hartford,2021,-120
East Hartford,2020,-23
East Hartford,2019,5
East Hartford,2018,-102
East Hartford,2017,152
Old Lyme,2022,-121
Old Lyme,2021,220
Old Lyme,2020,-128
Old Lyme,2019,-29
Old Lyme,2018,-2
Granby,2022,-124
Granby,2021,-4
Granby,2020,56
Granby,2019,174
Granby,2018,-119
Winchester,2022,-124
Winchester,2021,115
Winchester,2020,-7
Winchester,2019,-14
Winchester,2018,-4
Milford,2021,-124
Milford,2020,32
Milford,2019,-94
Milford,2018,882
Milford,2017,-555
Tolland,2022,-130
Tolland,2021,285
Tolland,2020,-116
Tolland,2019,-36
Tolland,2018,-7
Rocky Hill,2022,-132
Rocky Hill,2021,94
Rocky Hill,2020,162
Rocky Hill,2019,-227
Rocky Hill,2018,-28
New London,2022,-133
New London,2021,130
New London,2020,271
New London,2019,-296
New London,2018,10
East Windsor,2022,-133
East Windsor,2021,25
East Windsor,2020,28
East Windsor,2019,174
East Windsor,2018,-100
Killingly,2022,-134
Killingly,2021,91
Killingly,2020,275
Killingly,2019,-278
Killingly,2018,-58
New Fairfield,2022,-135
New Fairfield,2021,217
New Fairfield,2020,-48
New Fairfield,2019,-63
New Fairfield,2018,-37
Coventry,2022,-137
Coventry,2021,243
Coventry,2020,-109
Coventry,2019,-77
Coventry,2018,-31
Cromwell,2022,-139
Cromwell,2021,128
Cromwell,2020,-16
Cromwell,2019,224
Cromwell,2018,-139
Woodbury,2022,-140
Woodbury,2021,126
Woodbury,2020,141
Woodbury,2019,-100
Woodbury,2018,-73
Bloomfield,2022,-145
Bloomfield,2021,314
Bloomfield,2020,-96
Bloomfield,2019,-102
Bloomfield,2018,-25
North Haven,2022,-146
North Haven,2021,95
North Haven,2020,20
North Haven,2019,19
North Haven,2018,-23
Avon,2022,-149
Avon,2021,27
Avon,2020,370
Avon,2019,-201
Avon,2018,-80
Enfield,2021,-152
Enfield,2020,73
Enfield,2019,77
Enfield,2018,511
Enfield,2017,-372
Wolcott,2022,-173
Wolcott,2021,148
Wolcott,2020,-26
Wolcott,2019,5
Wolcott,2018,12
Plainfield,2022,-178
Plainfield,2021,171
Plainfield,2020,-2
Plainfield,2019,222
Plainfield,2018,-155
Old Saybrook,2022,-178
