Town,Year,Transactions
Harwinton,2022,89
Harwinton,2021,139
Harwinton,2020,128
Harwinton,2019,32
Harwinton,2018,57
Plainville,2022,88
Plainville,2021,415
Plainville,2020,351
Plainville,2019,326
Plainville,2018,337
Lebanon,2022,87
Lebanon,2021,164
Lebanon,2020,169
Lebanon,2019,37
Lebanon,2018,96
Sterling,2022,85
Sterling,2021,113
Sterling,2020,85
Sterling,2019,122
Sterling,2018,20
Lisbon,2021,84
Lisbon,2020,87
Lisbon,2019,87
Lisbon,2018,93
Lisbon,2017,20
Canterbury,2022,82
Canterbury,2021,26
Canterbury,2020,79
Canterbury,2019,108
Canterbury,2018,89
Columbia,2021,80
Columbia,2020,125
Columbia,2019,99
Columbia,2018,99
Columbia,2017,26
Goshen,2022,75
Goshen,2021,121
Goshen,2020,120
Goshen,2019,94
Goshen,2018,15
Sherman,2022,74
Sherman,2021,104
Sherman,2020,119
Sherman,2019,19
Sherman,2018,72
Salisbury,2022,73
Salisbury,2021,32
Salisbury,2020,96
Salisbury,2019,76
Salisbury,2018,94
Washington,2022,71
Washington,2021,114
Washington,2020,145
Washington,2019,19
Washington,2018,74
Barkhamsted,2022,71
Barkhamsted,2021,78
Barkhamsted,2020,97
Barkhamsted,2019,15
Barkhamsted,2018,65
Durham,2022,70
Durham,2021,33
Durham,2020,110
Durham,2019,134
Durham,2018,136
Voluntown,2022,68
Voluntown,2021,13
Voluntown,2020,43
Voluntown,2019,58
Voluntown,2018,47
Sharon,2022,68
Sharon,2021,131
Sharon,2020,113
Sharon,2019,14
Sharon,2018,46
Bolton,2022,67
Bolton,2021,93
Bolton,2020,97
Bolton,2019,19
Bolton,2018,67
Willington,2022,67
Willington,2021,104
Willington,2020,79
Willington,2019,13
Willington,2018,57
Middlefield,2022,64
Middlefield,2021,111
Middlefield,2020,82
Middlefield,2019,78
Middlefield,2018,78
Deep River,2022,64
Deep River,2021,33
Deep River,2020,62
Deep River,2019,114
Deep River,2018,91
Ashford,2021,62
Ashford,2020,102
Ashford,2019,78
Ashford,2018,85
Ashford,2017,33
Bethany,2022,58
Bethany,2021,130
Bethany,2020,124
Bethany,2019,26
Bethany,2018,65
North Canaan,2022,57
North Canaan,2021,100
North Canaan,2020,65
North Canaan,2019,52
North Canaan,2018,19
Bethlehem,2022,57
Bethlehem,2021,85
Bethlehem,2020,86
Bethlehem,2019,17
Bethlehem,2018,38
Andover,2021,55
Andover,2020,53
Andover,2019,71
Andover,2018,77
Andover,2017,14
Pomfret,2022,54
Pomfret,2021,25
Pomfret,2020,77
Pomfret,2019,87
Pomfret,2018,69
Sprague,2022,53
Sprague,2021,58
Sprague,2020,52
Sprague,2019,61
Sprague,2018,16
Chester,2022,52
Chester,2021,77
Chester,2020,81
Chester,2019,20
Chester,2018,39
Kent,2022,50
Kent,2021,101
Kent,2020,117
Kent,2019,21
Kent,2018,47
Lyme,2022,44
Lyme,2021,77
Lyme,2020,68
Lyme,2019,18
Lyme,2018,44
Morris,2022,43
Morris,2021,67
Morris,2020,65
Morris,2019,41
Morris,2018,40
Cornwall,2021,42
Cornwall,2020,60
Cornwall,2019,44
Cornwall,2018,39
Cornwall,2017,9
Colebrook,2022,42
Colebrook,2021,42
Colebrook,2020,44
Colebrook,2019,19
Colebrook,2018,20
Eastford,2022,42
Eastford,2021,48
Eastford,2020,50
Eastford,2019,13
Eastford,2018,19
Roxbury,2022,41
Roxbury,2021,85
Roxbury,2020,88
Roxbury,2019,52
Roxbury,2018,17
Norfolk,2022,35
Norfolk,2021,44
Norfolk,2020,48
Norfolk,2019,12
Norfolk,2018,25
Franklin,2022,35
Franklin,2021,61
Franklin,2020,56
Franklin,2019,11
Franklin,2018,22
Bridgewater,2022,34
Bridgewater,2021,47
Bridgewater,2020,52
Bridgewater,2019,30
Bridgewater,2018,32
Hampton,2022,34
Hampton,2021,44
Hampton,2020,49
Hampton,2019,12
Hampton,2018,29
Canaan,2022,33
Canaan,2021,38
Canaan,2020,36
Canaan,2019,37
Canaan,2018,8
Chaplin,2022,31
Chaplin,2021,40
Chaplin,2020,49
Chaplin,2019,5
Chaplin,2018,33
Warren,2022,27
Warren,2021,45
Warren,2020,56
Warren,2019,22
Warren,2018,6
Bozrah,2022,27
Bozrah,2021,36
Bozrah,2020,38
Bozrah,2019,39
Bozrah,2018,10
Scotland,2022,24
Scotland,2021,37
Scotland,2020,27
Scotland,2019,8
Scotland,2018,20
Hartland,2022,22
Hartland,2021,17
Hartland,2020,22
Hartland,2019,36
Hartland,2018,38
Union,2022,18
Union,2021,25
Union,2020,12
Union,2018,18
Union,2017,22
